,Review
1,"The movie affects you in a way that makes it physically painful to experience, but in a good way."
2,"When I heard everyone saying that this is the film of the year and all the reviews flooding in with 10's, I was quite hyped and excited for this movie. When I walked out of the cinema, I felt hollow and empty.

Before I continue writing, let me say this, This is NOT the film of the year nor is it a real masterpiece. The cinematography is excellent and the acting is incredible, that's just it. The side-characters are bland and overly dramatic. The plot heavily relies on plot-twists and the film is so harsh that it actually falls flat on it's face.

Are there no good points though? Phoenix is phenomenal and the score is great. The cinematography is also incredible but the plot is not that great at all. It even has plot holes and scenes that left me empty.

Film of the year? Nope."
3,"Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife. Remarkable Direction, Cinematography, Music and the Acting. Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message. It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too. The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different. It's BELIEVABLE. There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people. Consider this a wake up call, a message, but first a film. A PERFECT film."
4,"I have seen Joker yesterday at Venice an early ill-fated screening. We had some trouble with audio that lead to a near-hour delay, but it definitely was worth it.

Joker deserved to be presented at Venice Film Festival, an event that regards cinema as a form of art, because this film is far from a blockbuster or a mere entertainer movie, as most films in the genre are.

It focuses on the psyche of the main character, as it slowly crumbles under the pressure of society. And thus, Joaquin Phoenix does a wonderful performance, earning almost surely a nomination at the oscars at least. It's a take on the Joker that differs from Ledger's, but I'd say that both are equally as good. The main difference might be that Ledger's joker is a rational that acts insane, while Phoenix's is insane to the root.

Despite being a movie about a superhero villain, Joker is much superior to most of the movies of the genre (I'd exclude the Dark Knight Trilogy only, but Joker is easily as good as Nolan's movies, or at least very close). It is a small-scaled film, with a distinct style and cinematography (that cannot but be appreciated) and a set of very cinephile references that however do not feel too forced or overly opressive. (most notable are the similarities to Scorsese's 'Taxi Driver' and his 'The King of Comedy', but also Chaplin's 'Modern Times' is somewhat referenced).

I am eager to see more non-comedic efforts by Todd Phillips. This movie was so far probably the best of 2019 (at worst contested so far only by Dolor Y Gloria or Once Upon a Time in Hollywood), and that should be very convincing."
5,"I get why some people hate this . It's because of the political message and how some people think that you need get empathy for Arthur's madness. But come on that is not the point and it will never be. Enjoy this masterpiece because Joaquin Phoenix and Todd Phillips overdid themselves with this movie . The acting,music and cinematography are just amazing ! Please enjoy the movie without overthinking it."
6,"Let me start off by saying if Joaquin Phoneix doesn't get his Oscar for this movie. Then the Oscars should be cancelled. Phoneix is amazing as you might've heard from every review ever! But Todd Phillips. Is at his best here. The story lines he takes and visuals are just breathtaking. The score!! Omg the Score! Every time that score came on, I felt very uncomfortable, like something horrible was about to happen. It was GREAT. The Inspirations from Taxi Driver and King of Comedy are there, and add so much for the movie. And I got to be honest. There are scenes that are very violent. And its disturbing. But I honestly expected it to be WAYYYY more violent from all the controversy going on. Overall this movie was GREAT. Come Oscar season, it needs to be nominated for Best Picture, ScreenPlay, Cinematography, Actor, Score and Director"
7,"Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.

this is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen."
8,"This is a movie that only those who have felt alone and isolated can truly relate to it. You understand the motive and you feel sorry for the character. A lot of people will see this movie and think that it encourages violence. But truly, this movie should encourage each and every one of us to become a better person, treat everyone with respect and make each other feel like they belong in this world, instead of making them feel isolated."
10,"It's sad that Joaquin missed Oscar for 'The gladiator' as he was very compelling Villain. But I am quite confident he will win it for the 'Joker'. Damn what a movie !!! Keeps u on the toes all the time. Unpredictable storyline and really a deep interesting plot. Did I forget to mention acting ? Damn Do niro and Joaquin teach u what really is 5 star acting. To enjoy this movie, get a wine in your hand, close the curtains, turn of ur cellphones and put do not disturb sign on ur door. Best Dark thriller suspense movie you will get to experience."
11,"The recurring themes of so many of the 10 star reviews here should tell you a lot about this movie and its audience. If you can't get through a movie review without tossing in one or more claims that ""THIS movie is so much better and smarter than YOUR superhero movie"" (or even basing your entire review around this premise), then I hate to break it to you, but kid, you're nowhere near as intelligent and grown up as you think you are. This ""my comic publisher is better than yours"" BS should have been left behind on your grade school playground, it has absolutely no relevance to the quality of this movie, and your opinion of this movie should be considered highly suspect if you're in this group.

I gotta say, if this movie was also your idea of the most perfect film ever made, you really need to get out more. Look, I get it. If you live in a safe little box where all you watch are superhero movies and mainstream blockbusters then I understand how exposure to themes like this for the first time would seem new and exciting to you, and I think we can all agree that this is probably the best DC Comics related movie in the last decade or so (though that's not a high bar to meet) and of course Joaquin Phoenix is a very talented actor, but stop and take a step back and look at this thing.

Joker does indeed present a theme that is of importance to our society, that of the neglect and demonizing of the mentally ill to a degree that sometimes creates monsters which everyone around them should have seen coming a mile away if they hadn't been too busy looking away to avoid feeling uncomfortable. Unfortunately, reminding us all of the fact that this situation still exists is all this movie really has to say. It dances around important subjects like ""HEY KIDS, CLASS INEQUALITY!"", but then never offers any actual insight into them, usually because it's too busy making forced Batman references or dropping cringey little edgy moments like the ""Don't smile"" sign scene which seem to have been designed solely to have something for Hot Topic to print a new t-shirt of. Between that and every single plot twist being telegraphed so very far in advance because a lot of us have seen all these exact same twists so very many times before, I just wasn't impressed.

Perhaps if this had been an actual stand-alone movie of its own instead of being shackled by its completely unnecessary ties to the Batman universe it could have done something more interesting with its themes. Don't get me wrong, I don't have any problem with superhero movies, but it just feels so gratuitous here, as if someone came up with this idea, pitched it to an executive, and was told ""sounds great, but can you make it a Batman movie somehow?"", and I'm sorry, but I'm just not into a movie trying to tell me a half-hearted, yet dead-serious speech about mental illness in modern society while simultaneously constantly reminding me that it's technically a superhero movie because $$$"
